States,DAY,MONTH,YEAR,DAY_WEEK,LATITUDE,LONGITUD,Weather,ARR_HOUR,ARR_MIN,DRUNK_DR,EMS_Arrival_Time
Alabama,6,4,2015,2,33.52636111,-87.47221944,Cloudy,6,0.011666667,0,6.01
Alabama,6,4,2015,2,32.47788056,-86.19813611,Rain,17,0.008055556,0,17.01
Alabama,16,2,2015,2,33.73637778,-86.86807222,Rain,12,0.000277778,0,12
Alabama,30,3,2015,2,33.61813611,-86.685,Clear,20,0.016111111,0,20.02
Alabama,17,4,2015,6,30.87624722,-88.04591944,Clear,13,0.015555556,0,13.02
Alabama,27,3,2015,6,32.36128333,-86.32179722,Clear,5,0.008611111,0,5.01
Alabama,6,4,2015,2,33.48549444,-87.03136944,Rain,NA,NA,0,NA
Alabama,12,2,2015,5,33.76413611,-87.27437778,Clear,12,0,0,12
Alabama,14,3,2015,7,33.408075,-86.93732778,Clear,22,0.004444444,0,22
Alabama,30,3,2015,2,31.83838056,-85.99281389,Clear,15,0.008611111,0,15.01
Alabama,2,4,2015,5,32.49611111,-85.01460278,Clear,6,0.003333333,0,6
Alabama,4,4,2015,7,32.32692222,-86.28206944,Cloudy,6,0.001666667,0,6
Alabama,6,4,2015,2,31.04196944,-87.03546944,Clear,14,0.0125,0,14.01
Alabama,6,4,2015,2,34.08569167,-86.79316389,Rain,14,0.006111111,0,14.01
Alabama,10,4,2015,6,32.61595,-85.49899167,Cloudy,3,0.006944444,1,3.01
Alabama,11,4,2015,7,33.17655278,-87.30551667,Cloudy,0,0.0025,1,0
Alabama,12,4,2015,1,32.56443611,-85.93123889,Clear,0,0.015833333,1,0.02
Alabama,13,4,2015,2,34.88471111,-86.73896944,Rain,12,0.008888889,0,12.01
Alabama,8,4,2015,4,32.29946111,-85.18006944,Clear,20,0.009722222,0,20.01
Alabama,9,4,2015,5,31.10145278,-85.51632778,"Fog, smog, smoke",5,0.004166667,0,5
Alabama,10,4,2015,6,33.40058333,-88.14174167,Clear,16,0.001388889,0,16
Alabama,11,4,2015,7,31.833975,-85.77583333,Clear,0,0.004166667,1,0
Alabama,15,4,2015,4,33.11793333,-86.23954167,Clear,5,0.008333333,0,5.01
Alabama,15,4,2015,4,33.15340556,-86.65777222,Clear,12,0.001666667,0,12
Alabama,16,4,2015,5,34.18084444,-85.76155278,Cloudy,7,0.006944444,0,7.01
Alabama,16,4,2015,5,31.70562778,-85.59275278,Rain,20,0.011111111,0,20.01
Alabama,18,4,2015,7,33.38305,-86.94081111,Rain,21,0.016111111,0,21.02
Alabama,18,4,2015,7,34.27261667,-86.19847778,Cloudy,10,0.008333333,0,10.01
Alabama,18,4,2015,7,32.68974444,-86.79486389,Cloudy,21,0.001388889,0,21
Alabama,19,4,2015,1,33.760725,-85.69259167,Cloudy,NA,NA,0,NA
Alabama,19,4,2015,1,33.80746944,-86.48646944,Cloudy,9,0.010277778,0,9.01
Alabama,17,4,2015,6,32.43308333,-87.04990278,Cloudy,20,0.005277778,0,20.01
Alabama,21,4,2015,3,34.26499167,-86.84061944,Clear,15,0.009722222,1,15.01
Alabama,22,4,2015,4,33.39529167,-86.95479167,Clear,14,0.011388889,0,14.01
Alabama,24,4,2015,6,33.90451667,-86.43398333,Clear,14,0.004166667,0,14
Alabama,24,4,2015,6,33.12183611,-87.44465556,Clear,21,0.001111111,1,21
Alabama,25,4,2015,7,33.60119722,-86.57146667,Clear,12,0.015555556,1,12.02
Alabama,26,4,2015,1,34.83090556,-85.76291667,Clear,10,0.013333333,0,10.01
Alabama,8,4,2015,4,31.69793611,-86.7433,Clear,13,0.014444444,0,13.01
Alabama,25,4,2015,7,31.19613611,-87.32029167,Rain,4,0.014722222,1,4.01
Alabama,28,4,2015,3,32.36698056,-86.14332222,Clear,8,0.004166667,0,8
Alabama,17,4,2015,6,34.78567778,-86.44812778,Rain,12,0.008333333,0,12.01
Alabama,17,4,2015,6,30.36303056,-87.59561389,Clear,18,0.014444444,1,18.01
Alabama,22,4,2015,4,33.528825,-86.74684444,Clear,9,0.013611111,1,9.01
Alabama,24,4,2015,6,34.07541667,-85.64501944,Cloudy,7,0.010277778,1,7.01
Alabama,25,4,2015,7,33.17261667,-87.477725,Cloudy,20,0.011388889,1,20.01
Alabama,27,4,2015,2,32.698575,-85.84709722,Clear,10,0.006666667,0,10.01
Alabama,27,4,2015,2,34.08930556,-86.65215556,Cloudy,10,0.0125,0,10.01
Alabama,15,4,2015,4,34.51630556,-87.20631111,Clear,11,0.005555556,0,11.01
Alabama,30,4,2015,5,34.21392778,-86.13927222,Clear,23,0.005,0,23
Alabama,23,4,2015,5,30.61619167,-87.57853611,Clear,21,0.001388889,0,21
Alabama,25,4,2015,7,33.58526944,-86.04059444,Cloudy,0,0.010277778,1,0.01
Alabama,1,5,2015,6,31.14328611,-87.40973889,Clear,18,0.0125,0,18.01
Alabama,5,5,2015,3,33.407825,-86.76304444,Clear,0,0.007777778,1,0.01
Alabama,2,4,2015,5,32.32687222,-86.273175,Clear,19,0.011666667,0,19.01
Alabama,16,4,2015,5,32.81164167,-85.17035,Rain,20,0.004166667,0,20
Alabama,20,4,2015,2,33.19108333,-87.46343333,Cloudy,23,0.001944444,0,23
Alabama,23,4,2015,5,34.83666111,-87.65181667,Clear,13,0.004444444,0,13
Alabama,25,4,2015,7,32.81228611,-85.17083056,Cloudy,19,0.003611111,0,19
Alabama,30,4,2015,5,32.72789444,-85.58121667,Clear,10,0.001111111,0,10
Alabama,30,4,2015,5,34.63110278,-86.46207222,Clear,17,0.008333333,0,17.01
Alabama,30,4,2015,5,33.41463333,-88.00765833,Clear,NA,NA,0,NA
